Date,Transaction type,Order ID,SKU,QTY,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (USD),SKU,QTY,
1/1/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.85,0,-8.85,,,
1/4/2021,Paid to Amazon | Seller repayment,---,,,---,0,0,0,159.09,159.09,,,
1/7/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-31.74,0,-31.74,,,
1/8/2021,Service Fees,---,,,FBA Inventory Storage Fee,0,0,-9.76,0,-9.76,,,
1/9/2021,Order Payment,112-7454857-9012257,,,Free People Womens Ribbed Trim Button Fr...,32.38,0,-19.86,7.65,20.17,194374170121,1 ,
1/10/2021,Order Payment,111-2132579-4994639,,,Free People Bright Side Thermal TOP (Mos...,34.95,0,-9.64,0,25.31,194374051758,1 ,
1/11/2021,Order Payment,113-7322533-1597840,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,111-9268030-9180248,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,113-4792056-8340269,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-8331481-3819420,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































